origin,translation,score original word,score for translation quality-Yulis,Awan,Dika,x-times,prop #translated (x times),prop #translated (x times),vote up,Propotion of vote up,vote down,score,min,max,mean,median,std,time-needed,,,,,,,,
distribution of agriculture inputs,distribusi bahan pertanian,,,,,1,"2,945",,2,1,0,2,40.286,40.286,40.286,40.286,0,[40.286000000000001],,,,,,,,
distribution of agriculture inputs,penyaluran dari masukan pertanian,,,,,1,"2,945",,2,1,0,2,17.585,17.585,17.585,17.585,0,[17.585000000000001],,,,,,,,
distribution of agriculture inputs,distribusi masukan pertanian,,,,,1,"2,945",,2,1,0,2,22.214,22.214,22.214,22.214,0,[22.214000000000002],,,,,,,,
distribution of agriculture inputs,distribusi pemasukan sektor agrikultur,,,,,1,"2,945",,2,1,0,2,27.822,27.822,27.822,27.822,0,[27.821999999999999],,,,,,,,
distribution of agriculture inputs,distribusi bahan baku pertanian,,,,,1,"2,945",,1,1,0,1,10.686,10.686,10.686,10.686,0,[10.686],,,,,,,,
distribution of agriculture inputs,distribusi pupuk pertanian,,,,,1,"2,945",,1,1,0,1,58.559,58.559,58.559,58.559,0,[58.558999999999997],,,,,,,,
distribution of agriculture inputs,penyebaran atas masukan pertanian,,,,,1,"2,945",,1,"0,5",1,0,12.312,12.312,12.312,12.312,0,[12.312000000000001],,,,,,,,
distribution of agriculture inputs,penyaluran untuk masukan pertanian,,,,,1,"2,945",,1,"0,5",1,0,80.666,80.666,80.666,80.666,0,[80.665999999999997],,,,,,,,
distribution of agriculture inputs,pendistribusian input agrikultur,,,,,1,"2,945",,1,"0,5",1,0,11.597,11.597,11.597,11.597,0,[11.597000000000001],,,,,,,,
distribution of agriculture inputs,pengiriman pemasukan pertanian,,,,,1,"2,945",,0,0,1,-1,21.115,21.115,21.115,21.115,0,[21.114999999999998],,,,,,,,
distribution of kits,distribusi peralatan,3,5,,,4,"11,780",,7,1,0,7,9.637,15.379,11.997,11.486,2.422.504.799,"[9.7620000000000005, 9.6370000000000005, 13.210000000000001, 15.379000000000001]",,,,,,,,
distribution of kits,distribusi kit,,,,,3,"8,835",,3,"0,5",3,0,6.12,56.704,27.11.00,18.506,2.152.838.244,"[6.1200000000000001, 18.506, 56.703999999999994]",,,,,,,,
distribution of kits,distribusi perlengkapan,,5,,,1,"2,945",,2,1,0,2,13.47,13.47,13.47,13.47,0,[13.470000000000001],,,,,,,,
distribution of kits,pengiriman peralatan,,,,,1,"2,945",,2,1,0,2,17.111,17.111,17.111,17.111,0,[17.111000000000001],,,,,,,,
distribution of kits,pembagian peralatan,,,,,1,"2,945",,2,1,0,2,5.408,5.408,5.408,5.408,0,[5.4079999999999995],,,,,,,,
distribution of kits,distribusi perangkat,,,,,1,"2,945",,2,1,0,2,28.059,28.059,28.059,28.059,0,[28.059000000000001],,,,,,,,
distribution of kits,pembagian alat,,,,,1,"2,945",,2,1,0,2,3.259,3.259,3.259,3.259,0,[3.2589999999999999],,,,,,,,
distribution of kits,penyaluran peralatan,,,,,1,"2,945",,2,1,0,2,35.707,35.707,35.707,35.707,0,[35.707000000000001],,,,,,,,
distribution of kits,pendistribusian perangkat,,,,,1,"2,945",,2,1,0,2,23.577,23.577,23.577,23.577,0,[23.576999999999998],,,,,,,,
distribution of kits,penyebaran alat,,,,,1,"2,945",,2,1,0,2,11.738,11.738,11.738,11.738,0,[11.738],,,,,,,,
distribution of kits,kit penyaluran,,,,,1,"2,945",,1,"0,5",1,0,17.735,17.735,17.735,17.735,0,[17.734999999999999],,,,,,,,
distribution of kits,distribusi peti,,2,,,1,"2,945",,1,"0,5",1,0,26.394,26.394,26.394,26.394,0,[26.394000000000002],,,,,,,,
distribution of kits,distribusi kotak,,2,,,1,"2,945",,0,0,2,-2,42.792,42.792,42.792,42.792,0,[42.792000000000002],,,,,,,,
distribution of shelter materials,distribusi bahan penampungan,3,2,,,2,"5,890",,3,"0,75",1,2,9.274,39.413,243.435,243.435,150.695,"[9.2739999999999991, 39.413000000000004]",,,,,,,,
distribution of shelter materials,distribusi material tempat penampungan,,5,,,1,"2,945",,2,1,0,2,14.801,14.801,14.801,14.801,0,[14.800999999999998],,,,,,,,
distribution of shelter materials,distribusi bahan pembuatan tempat pengungsian,,5,,,1,"2,945",,2,1,0,2,86.478,86.478,86.478,86.478,0,[86.477999999999994],,,,,,,,
distribution of shelter materials,distribusi dari bahan rumah tinggal,,,,,1,"2,945",,2,1,0,2,21.243,21.243,21.243,21.243,0,[21.243000000000002],,,,,,,,
distribution of shelter materials,penyaluran bantuan pengungsian,,,,,1,"2,945",,2,1,0,2,24.546,24.546,24.546,24.546,0,[24.545999999999999],,,,,,,,
distribution of shelter materials,distribusi bahan baku tempat penampungan,,5,,,1,"2,945",,2,1,0,2,15.999,15.999,15.999,15.999,0,[15.999000000000001],,,,,,,,
distribution of shelter materials,distribusi material hunian sementara,,,,,1,"2,945",,2,1,0,2,49.976,49.976,49.976,49.976,0,[49.976000000000006],,,,,,,,
distribution of shelter materials,distribusi barang penampungan,,,,,1,"2,945",,2,1,0,2,40.447,40.447,40.447,40.447,0,[40.446999999999996],,,,,,,,
distribution of shelter materials,distribusi bahan dasar tempat berlindung,,,,,1,"2,945",,2,1,0,2,15.047,15.047,15.047,15.047,0,[15.047000000000001],,,,,,,,
distribution of shelter materials,distribusi bahan-bahan pengungsian,,,,,1,"2,945",,1,"0,5",1,0,44.364,44.364,44.364,44.364,0,[44.363999999999997],,,,,,,,
distribution of tools,distribusi alat,3,5,,,4,"11,780",,7,875,1,6,6.134,21.799,1.090.075,7.835,6.347.805.068,"[6.1339999999999995, 21.798999999999999, 8.5009999999999994, 7.1689999999999996]",,,,,,,,
distribution of tools,distribusi peralatan,,5,,,2,"5,890",,4,1,0,4,9.609,35.486,225.475,225.475,129.385,"[35.485999999999997, 9.609]",,,,,,,,
distribution of tools,pembagian peralatan,,,,,1,"2,945",,2,1,0,2,8.263,8.263,8.263,8.263,0,[8.2629999999999999],,,,,,,,
distribution of tools,penyaluran alat,,,,,1,"2,945",,2,1,0,2,7.553,7.553,7.553,7.553,0,[7.5529999999999999],,,,,,,,
distribution of tools,pemerataan perangkat,,,,,1,"2,945",,2,1,0,2,16.608,16.608,16.608,16.608,0,[16.608000000000001],,,,,,,,
distribution of tools,distribusi perangkat,,,,,1,"2,945",,2,1,0,2,9.03,9.03,9.03,9.03,0,[9.0299999999999994],,,,,,,,
distribution of tools,pendistribusian sarana,,,,,1,"2,945",,2,1,0,2,26.534,26.534,26.534,26.534,0,[26.534000000000002],,,,,,,,
distribution of tools,penyaluran peralatan,,,,,1,"2,945",,2,1,0,2,7.353,7.353,7.353,7.353,0,[7.3529999999999998],,,,,,,,
distribution of tools,distribusi perkakas,,,,,1,"2,945",,2,1,0,2,40.076,40.076,40.076,40.076,0,[40.076000000000001],,,,,,,,
distribution of tools,pemasaran alat,,,,,1,"2,945",,1,1,0,1,20.496,20.496,20.496,20.496,0,[20.495999999999999],,,,,,,,
distribution of tools,penyaluran perangkat,,,,,1,"2,945",,1,1,0,1,14.366,14.366,14.366,14.366,0,[14.366],,,,,,,,
distribution of tools,alat pendistribusian,,,,,1,"2,945",,1,"0,5",1,0,7.687,7.687,7.687,7.687,0,[7.6870000000000003],,,,,,,,
district offices,kantor distrik,3,5,,,5,"14,725",,8,"888,888,889",1,7,5.731,24.625,127.244,11.56,7.026.146.301,"[5.7309999999999999, 15.749000000000001, 11.56, 5.9570000000000007, 24.625]",,,,,,,,
district offices,kantor wilayah,,5,,,4,"11,780",,8,1,0,8,9.004,66.995,262.315,144.635,2.375.063.789,"[17.699999999999999, 9.0039999999999996, 66.995000000000005, 11.227]",,,,,,,,
district offices,kantor daerah,,5,,,4,"11,780",,7,1,0,7,5.563,26.075,1.388.825,119.575,816.737.208,"[7.4000000000000004, 26.074999999999999, 5.5629999999999997, 16.515000000000001]",,,,,,,,
district offices,kantor kecamatan,,5,,,4,"11,780",,7,1,0,7,6.547,"476,388,889",924.775,9.792,1.620.153.909,"[9.7089999999999996, 6.5470000000000006, 10.859999999999999, 9.875]",,,,,,,,
district offices,kantor cabang,,1,,,2,"5,890",,4,1,0,4,9.273,9.844,95.585,95.585,"1,982,638,889","[9.8439999999999994, 9.2729999999999997]",,,,,,,,
district offices,kantor kelurahan,,,,,2,"5,890",,4,1,0,4,14.449,42.01.00,282.745,282.745,138.255,"[42.100000000000001, 14.449000000000002]",,,,,,,,
district-rural,kabupaten-pedesaan,2,4,,,3,"8,835",,4,1,0,4,22.297,48.442,3.962.766.667,48.144,1.225.523.579,"[48.143999999999998, 22.296999999999997, 48.442]",,,,,,,,
district-rural,kabupaten pedesaan,,4,,,1,"2,945",,2,1,0,2,16.484,16.484,16.484,16.484,0,[16.484000000000002],,,,,,,,
district-rural,daerah pinggir kota,,,,,1,"2,945",,2,1,0,2,10.927,10.927,10.927,10.927,0,[10.927],,,,,,,,
district-rural,pedesaan,,2,,,1,"2,945",,2,1,0,2,26.923,26.923,26.923,26.923,0,[26.923000000000002],,,,,,,,
district-rural,desa-pedesaan,,1,,,1,"2,945",,2,1,0,2,12.392,12.392,12.392,12.392,0,[12.392000000000001],,,,,,,,
district-rural,daerah pinggiran,,,,,1,"2,945",,2,1,0,2,6.593,6.593,6.593,6.593,0,[6.593],,,,,,,,
district-rural,daerah pedesaan,,,,,1,"2,945",,2,1,0,2,7.866,7.866,7.866,7.866,0,[7.8660000000000005],,,,,,,,
district-rural,distrik pedesaan,,,,,1,"2,945",,2,1,0,2,20.391,20.391,20.391,20.391,0,[20.390999999999998],,,,,,,,
district-rural,desa,,1,,,1,"2,945",,2,1,0,2,6.522,6.522,6.522,6.522,0,[6.5220000000000002],,,,,,,,
district-rural,nan,,,,,1,"2,945",,0,0,0,0,1.357,1.357,1.357,1.357,0,[1.357],,,,,,,,
district-rural,kawasan kumuh,,,,,1,"2,945",,1,"0,5",1,0,13.037,13.037,13.037,13.037,0,[13.037000000000001],,,,,,,,
district-rural,distrik rural,,,,,1,"2,945",,1,"0,5",1,0,8.624,8.624,8.624,8.624,0,[8.6240000000000006],,,,,,,,
district-rural,kecamatan - pedesaan,,5,,,1,"2,945",,1,"0,5",1,0,37.135,37.135,37.135,37.135,0,[37.134999999999998],,,,,,,,
district-rural hospitals,rumah sakit pedesaan,2,,,,2,"5,890",,4,1,0,4,26.323,44.126,352.245,352.245,89.015,"[26.323, 44.126000000000005]",,,,,,,,
district-rural hospitals,rumah sakit pedesaan kabupaten,,4,,,2,"5,890",,4,1,0,4,6.923,29.114,180.185,180.185,110.955,"[6.9229999999999992, 29.114000000000001]",,,,,,,,
district-rural hospitals,rumah sakit daerah pedesaan,,3,,,2,"5,890",,4,1,0,4,"503,472,222",49.963,308.065,308.065,191.565,"[11.65, 49.963000000000001]",,,,,,,,
district-rural hospitals,rumah sakit area pedalaman,,2,,,2,"5,890",,3,1,0,3,9.257,26.628,179.425,179.425,86.855,"[9.2569999999999997, 26.628]",,,,,,,,
district-rural hospitals,rumah sakit di kawasan terpencil,,,,,1,"2,945",,2,1,0,2,8.631,8.631,8.631,8.631,0,[8.6310000000000002],,,,,,,,
district-rural hospitals,rumah sakit perdesaan,,,,,1,"2,945",,2,1,0,2,"596,527,778","596,527,778","596,527,778","596,527,778",0,[13.789999999999999],,,,,,,,
district-rural hospitals,rumah sakit di daerah pedesaan,,,,,1,"2,945",,2,1,0,2,33.749,33.749,33.749,33.749,0,[33.749000000000002],,,,,,,,
district-rural hospitals,rumah sakit ibu kota,,1,,,1,"2,945",,2,1,0,2,17.691,17.691,17.691,17.691,0,[17.690999999999999],,,,,,,,
district-rural hospitals,rumah sakit umum daerah,,,,,1,"2,945",,2,1,0,2,23.296,23.296,23.296,23.296,0,[23.295999999999999],,,,,,,,
district-rural hospitals,rumah sakit kabupaten pedusuan,,,,,1,"2,945",,2,1,0,2,116.823,116.823,116.823,116.823,0,[116.82299999999999],,,,,,,,
district-rural hospitals,rumah sakit permukiman,,,,,1,"2,945",,1,1,0,1,39.737,39.737,39.737,39.737,0,[39.736999999999995],,,,,,,,
district-rural hospitals,rumah sakit di kecamatan,,5,,,1,"2,945",,1,"0,5",1,0,12.492,12.492,12.492,12.492,0,[12.492000000000001],,,,,,,,
district-rural hospitals,rumah sakit daerah rural,,,,,1,"2,945",,1,"0,5",1,0,10.829,10.829,10.829,10.829,0,[10.829000000000001],,,,,,,,
district-rural hospitals,rumah sakit kabupaten pedesaan,,,,,1,"2,945",,0,0,1,-1,67.907,67.907,67.907,67.907,0,[67.906999999999996],,,,,,,,
division of roles for leadership,pembagian peran kepemimpinan,2,4,,,5,"14,725",,8,"888,888,889",1,7,8.316,29.494,166.938,12.836,80.037.088,"[22.379000000000001, 12.835999999999999, 29.494, 10.444000000000001, 8.3160000000000007]",,,,,,,,
division of roles for leadership,pembagian tugas kepemimpinan,,4,,,2,"5,890",,4,1,0,4,9.439,15.182,123.105,123.105,28.715,"[9.4390000000000001, 15.182]",,,,,,,,
division of roles for leadership,divisi peranan kepemimpinan,,,,,2,"5,890",,3,"0,75",1,2,"715,972,222",39.67,28.19.00,28.19.00,11.48,"[16.710000000000001, 39.670000000000002]",,,,,,,,
division of roles for leadership,pembagian peran untuk posisi kepemimpinan,,,,,1,"2,945",,2,1,0,2,19.165,19.165,19.165,19.165,0,[19.164999999999999],,,,,,,,
division of roles for leadership,pembagian peran untuk kepemimpinan,,,,,1,"2,945",,2,1,0,2,82.965,82.965,82.965,82.965,0,[82.965000000000003],,,,,,,,
division of roles for leadership,pembagoan tugas kepemimpinan,,,,,1,"2,945",,2,1,0,2,9.797,9.797,9.797,9.797,0,[9.7970000000000006],,,,,,,,
division of roles for leadership,divisi peraturan kepemimpinan,,,,,1,"2,945",,2,1,0,2,46.627,46.627,46.627,46.627,0,[46.626999999999995],,,,,,,,
division of roles for leadership,peran divisi untuk kepemimpinan,,,,,1,"2,945",,2,1,0,2,20.134,20.134,20.134,20.134,0,[20.134],,,,,,,,
division of roles for leadership,divisi peran kepemimpinan,,3,,,1,"2,945",,2,1,0,2,7.054,7.054,7.054,7.054,0,[7.0539999999999994],,,,,,,,
division of roles for leadership,divisi kepemimpinan,,,,,1,"2,945",,1,"0,5",1,0,62.133,62.133,62.133,62.133,0,[62.133000000000003],,,,,,,,
doctor,dokter,3,5,,,16,"47,118",,30,1,0,30,1.374,36.111,74.484.375,4.512,8.059.984.088,"[4.3789999999999996, 7.7270000000000003, 3.4449999999999998, 3.8689999999999998, 3.4810000000000003, 5.4539999999999997, 14.620999999999999, 4.7910000000000004, 3.8410000000000002, 8.7859999999999996, 3.8660000000000001, 4.6449999999999996, 36.110999999999997, 1.3740000000000001, 10.045, 2.7400000000000002]",,,,,,,,
doctor,doktor,,1,,,1,"2,945",,1,1,0,1,12.106,12.106,12.106,12.106,0,[12.106],,,,,,,,
doctors,dokter,,,,,18,"53,008",,29,"935,483,871",2,27,2.516,19.657,5.756.388.889,44.095,390.983.049,"[6.0910000000000002, 7.891, 4.6269999999999998, 3.7510000000000003, 7.4050000000000002, 3.5699999999999998, 2.516, 5.5800000000000001, 4.0030000000000001, 10.327999999999999, 2.9660000000000002, 3.2689999999999997, 2.5390000000000001, 3.9819999999999998, 5.5529999999999999, 5.6950000000000003, 4.1920000000000002, 19.657]",,,,,,,,
doctors,dokter-dokter,,,,,3,"8,835",,6,1,0,6,4.616,7.129,6.110.333.333,6.586,1.079.656.221,"[6.5860000000000003, 4.6160000000000005, 7.1289999999999996]",,,,,,,,
doctors,doktor,,,,,1,"2,945",,1,"0,5",1,0,18.347,18.347,18.347,18.347,0,[18.347000000000001],,,,,,,,
dollars,dolar,3,5,,,11,"32,394",,19,1,0,19,1.807,9.869,5.491.090.909,4.855,2.424.982.829,"[9.8689999999999998, 5.734, 3.8650000000000002, 4.2389999999999999, 3.7749999999999999, 1.8069999999999999, 6.8879999999999999, 9.8620000000000001, 5.7989999999999995, 3.7089999999999996, 4.8550000000000004]",,,,,,,,
dollars,dollar,,5,,,2,"5,890",,4,1,0,4,15.721,24.413,20.067,20.067,4.346,"[15.720999999999998, 24.413]",,,,,,,,
dollars,mata uang dollar,,,,,1,"2,945",,2,1,0,2,13.301,13.301,13.301,13.301,0,[13.300999999999998],,,,,,,,
domestic hygiene,kebersihan rumah tangga,3,5,,,6,"17,669",,10,"833,333,333",2,8,5.708,24.224,1.608.183.333,165.155,5.783.085.607,"[5.7079999999999993, 14.013, 19.515000000000001, 14.244999999999999, 18.785999999999998, 24.224]",,,,,,,,
domestic hygiene,kebersihan domestik,,5,,,4,"11,780",,8,1,0,8,7.164,40.191,191.075,145.375,1.317.250.213,"[8.8309999999999995, 20.244, 7.1639999999999997, 40.191000000000003]",,,,,,,,
domestic hygiene,kebersihan rumah,,,,,2,"5,890",,4,1,0,4,27.222,37.673,324.475,324.475,52.255,"[37.673000000000002, 27.221999999999998]",,,,,,,,
domestic hygiene,higienitas rumah tangga,,,,,1,"2,945",,0,0,2,-2,10.142,10.142,10.142,10.142,0,[10.142000000000001],,,,,,,,
donate,menyumbang,3,,,,7,"20,614",,13,1,0,13,5.223,22.258,1.010.471.429,8.076,5.501.474.237,"[5.2229999999999999, 7.1279999999999992, 22.258000000000003, 13.302999999999999, 8.4199999999999999, 8.0760000000000005, 6.3250000000000002]",,,,,,,,
donate,donasi,,5,,,5,"14,725",,8,"888,888,889",1,7,1.646,4.336,33.184,4.126,1.133.575.864,"[2.2599999999999998, 4.3360000000000003, 4.1260000000000003, 1.6459999999999999, 4.2240000000000002]",,,,,,,,
donate,menyumbangkan,,5,,,3,"8,835",,6,1,0,6,3.924,35.755,1.573.166.667,7.516,1.423.437.212,"[7.516, 35.755000000000003, 3.9239999999999999]",,,,,,,,
donate,sumbangan,,,,,2,"5,890",,3,"0,75",1,2,7.744,12.717,102.305,102.305,24.865,"[12.717000000000001, 7.7439999999999998]",,,,,,,,
donate,berdonasi,,,,,1,"2,945",,1,"0,5",1,0,9.984,9.984,9.984,9.984,0,[9.984],,,,,,,,
donate,"donasi, sumbangan",,,,,1,"2,945",,1,"0,5",1,0,7.761,7.761,7.761,7.761,0,[7.7610000000000001],,,,,,,,
donate,mendermakan,,5,,,1,"2,945",,0,0,1,-1,24.243,24.243,24.243,24.243,0,[24.243000000000002],,,,,,,,
donate cross,donasi silang,1,3,,,3,"8,835",,4,"0,8",1,3,7.38,31.07.00,1.568.566.667,7.977,1.132.646.624,"[7.9770000000000003, 31.699999999999999, 7.3799999999999999]",,,,,,,,
donate cross,menyumbangkan silang,,3,,,2,"5,890",,3,"0,75",1,2,11.126,27.116,19.121,19.121,7.995,"[27.116, 11.125999999999999]",,,,,,,,
donate cross,subsidi silang,,,,,1,"2,945",,2,1,0,2,10.835,10.835,10.835,10.835,0,[10.835000000000001],,,,,,,,
donate cross,menyumbang salib,,,,,1,"2,945",,2,1,0,2,7.761,7.761,7.761,7.761,0,[7.7610000000000001],,,,,,,,
donate cross,donasi menyilang,,,,,1,"2,945",,2,1,0,2,8.432,8.432,8.432,8.432,0,[8.4320000000000004],,,,,,,,
donate cross,menyumbangkan secara silang,,,,,1,"2,945",,2,1,0,2,30.17.00,30.17.00,30.17.00,30.17.00,0,[30.170000000000002],,,,,,,,
donate cross,bantuan silang,,,,,1,"2,945",,1,1,0,1,19.761,19.761,19.761,19.761,0,[19.760999999999999],,,,,,,,
donate cross,donasi slang,,,,,1,"2,945",,1,1,0,1,8.672,8.672,8.672,8.672,0,[8.6720000000000006],,,,,,,,
donate cross,sumbang silang,,,,,1,"2,945",,1,"0,5",1,0,23.432,23.432,23.432,23.432,0,[23.431999999999999],,,,,,,,
donate cross,saling sumbang,,,,,1,"2,945",,1,"0,5",1,0,23.379,23.379,23.379,23.379,0,[23.379000000000001],,,,,,,,
donate cross,"sumbang silang, saling menyumbang",,,,,1,"2,945",,1,"0,5",1,0,27.614,27.614,27.614,27.614,0,[27.614000000000001],,,,,,,,
donate tornado,menyumbangkan tornado,1,3,,,3,"8,835",,3,"0,75",1,2,7.957,18.309,1.301.066.667,12.766,4.229.725.943,"[7.9570000000000007, 18.309000000000001, 12.765999999999998]",,,,,,,,
donate tornado,donasi untuk korban bencana tornado,,3,,,1,"2,945",,2,1,0,2,39.99,39.99,39.99,39.99,0,[39.990000000000002],,,,,,,,
donate tornado,donasi terhadap korban angin topan,,,,,1,"2,945",,2,1,0,2,25.196,25.196,25.196,25.196,0,[25.195999999999998],,,,,,,,
donate tornado,menyumbang tornado,,,,,1,"2,945",,2,1,0,2,7.563,7.563,7.563,7.563,0,[7.5629999999999997],,,,,,,,
donate tornado,donasi tornado,,,,,1,"2,945",,2,1,0,2,13.097,13.097,13.097,13.097,0,[13.097000000000001],,,,,,,,
donate tornado,sumbangan tornado,,,,,1,"2,945",,1,1,0,1,16.231,16.231,16.231,16.231,0,[16.230999999999998],,,,,,,,
donate tornado,nan,,,,,1,"2,945",,0,0,0,0,3.063,3.063,3.063,3.063,0,[3.0630000000000002],,,,,,,,
donate tornado,sumbangan angin tornado,,,,,1,"2,945",,1,"0,5",1,0,9.516,9.516,9.516,9.516,0,[9.516],,,,,,,,
donated million,menyumbang jutaan,1,3,,,5,"14,725",,8,1,0,8,8.746,24.407,151.146,13.133,5.248.215.567,"[13.132999999999999, 8.7460000000000004, 16.437999999999999, 24.406999999999996, 12.849]",,,,,,,,
donated million,menyumbangkan jutaan,,3,,,3,"8,835",,6,1,0,6,8.503,14.552,12.476,14.373,2.810.285.513,"[8.5030000000000001, 14.552, 14.372999999999999]",,,,,,,,
donated million,disumbang jutaan,,,,,1,"2,945",,2,1,0,2,12.555,12.555,12.555,12.555,0,[12.555],,,,,,,,
donated million,jutaan disumbangkan,,,,,1,"2,945",,2,1,0,2,23.037,23.037,23.037,23.037,0,[23.036999999999999],,,,,,,,
donated million,jutaan uang yang sudah didonasikan,,,,,1,"2,945",,2,1,0,2,17.116,17.116,17.116,17.116,0,[17.116],,,,,,,,
donated million,jutaan yang didonasikan,,,,,1,"2,945",,2,1,0,2,14.142,14.142,14.142,14.142,0,[14.142000000000001],,,,,,,,
donated million,menyumbang berjuta - juta,,,,,1,"2,945",,2,1,0,2,10.633,10.633,10.633,10.633,0,[10.632999999999999],,,,,,,,
donated million,beramal banyak,,,,,1,"2,945",,2,1,0,2,12.946,12.946,12.946,12.946,0,[12.946],,,,,,,,
donated million,mendonasikan jutaan,,,,,1,"2,945",,2,1,0,2,16.342,16.342,16.342,16.342,0,[16.341999999999999],,,,,,,,
donated million,mendonasi sebanyak jutaan,,,,,1,"2,945",,1,1,0,1,20.076,20.076,20.076,20.076,0,[20.076000000000001],,,,,,,,
donated million,donasi jutaan,,,,,1,"2,945",,1,1,0,1,13.008,13.008,13.008,13.008,0,[13.007999999999999],,,,,,,,
donated million,jutaan sumbangan,,,,,1,"2,945",,1,"0,5",1,0,41.558,41.558,41.558,41.558,0,[41.558],,,,,,,,
donated million,sumbangan jutaan,,,,,1,"2,945",,1,"0,5",1,0,"811,111,111","811,111,111","811,111,111","811,111,111",0,[18.879999999999999],,,,,,,,
donated million,menyumbangkanjutaan,,,,,1,"2,945",,1,"0,5",1,0,11.288,11.288,11.288,11.288,0,[11.288],,,,,,,,
donated victims,menyumbang korban,1,3,,,2,"5,890",,4,1,0,4,11.282,14.624,12.953,12.953,1.671,"[11.282, 14.624000000000001]",,,,,,,,
donated victims,korban yang disumbangkan,,3,,,2,"5,890",,3,"0,75",1,2,10.446,13.224,11.835,11.835,1.389,"[13.224, 10.446]",,,,,,,,
donated victims,korban berdonasi,,,,,1,"2,945",,2,1,0,2,15.778,15.778,15.778,15.778,0,[15.777999999999999],,,,,,,,
donated victims,donasi korban,,,,,1,"2,945",,2,1,0,2,3.954,3.954,3.954,3.954,0,[3.9539999999999997],,,,,,,,
donated victims,korban yang disumbang,,,,,1,"2,945",,2,1,0,2,25.121,25.121,25.121,25.121,0,[25.120999999999999],,,,,,,,
donated victims,korban diberi sumbangan,,,,,1,"2,945",,2,1,0,2,18.633,18.633,18.633,18.633,0,[18.632999999999999],,,,,,,,
donated victims,korban yang diberi donasi,,,,,1,"2,945",,2,1,0,2,15.061,15.061,15.061,15.061,0,[15.061],,,,,,,,
donated victims,korban penerima sumbangan,,,,,1,"2,945",,2,1,0,2,23.438,23.438,23.438,23.438,0,[23.438000000000002],,,,,,,,
donated victims,korban tersumbangkan,,,,,1,"2,945",,1,1,0,1,9.228,9.228,9.228,9.228,0,[9.2279999999999998],,,,,,,,
donated victims,memberikan donasi kepada para korban,,,,,1,"2,945",,1,"0,5",1,0,18.441,18.441,18.441,18.441,0,[18.440999999999999],,,,,,,,
donated victims,disumbangkan ke korban,,,,,1,"2,945",,1,"0,5",1,0,8.038,8.038,8.038,8.038,0,[8.0380000000000003],,,,,,,,
donated victims,korban yang di sumbangkan,,,,,1,"2,945",,0,0,1,-1,26.728,26.728,26.728,26.728,0,[26.728000000000002],,,,,,,,
donated victims,korban sumbangan,,,,,1,"2,945",,0,0,1,-1,18.242,18.242,18.242,18.242,0,[18.242000000000001],,,,,,,,
donates,menyumbang,3,5,,,9,"26,504",,16,1,0,16,4.084,36.316,12.553,8.547,9.453.313.211,"[8.5470000000000006, 6.5659999999999998, 7.7800000000000002, 4.0839999999999996, 17.164999999999999, 13.520999999999999, 14.615, 36.316000000000003, 4.383]",,,,,,,,
donates,donasi,,5,,,5,"14,725",,8,"0,8",2,6,2.586,9.865,51.208,3.265,2.760.828.383,"[6.6279999999999992, 2.5860000000000003, 3.2599999999999998, 9.8650000000000002, 3.2650000000000001]",,,,,,,,
donates,sumbangan,,,,,3,"8,835",,4,"666,666,667",2,2,5.24,12.42,8.759.333.333,8.618,2.932.925.881,"[5.2400000000000002, 12.42, 8.6180000000000003]",,,,,,,,
donates,menyumbangkan,,,,,2,"5,890",,4,1,0,4,4.683,16.707,10.695,10.695,6.012,"[16.707000000000001, 4.6829999999999998]",,,,,,,,
donates,bantuan,,,,,2,"5,890",,1,"333,333,333",2,-1,6.182,9.53,7.856,7.856,1.674,"[6.1820000000000004, 9.5299999999999994]",,,,,,,,
donates,mendonasikan,,,,,1,"2,945",,2,1,0,2,11.522,11.522,11.522,11.522,0,[11.522],,,,,,,,
donates,menyumbant,,,,,1,"2,945",,1,"0,5",1,0,17.802,17.802,17.802,17.802,0,[17.802],,,,,,,,
donating,menyumbang,3,5,,,11,"32,394",,20,1,0,20,3.823,21.449,1.019.027.273,7.252,5.586.792.495,"[5.2389999999999999, 7.2520000000000007, 6.7400000000000002, 12.343, 3.823, 5.843, 9.6059999999999999, 13.722999999999999, 6.7759999999999998, 19.298999999999999, 21.449000000000002]",,,,,,,,
donating,berdonasi,,5,,,3,"8,835",,5,"833,333,333",1,4,10.057,11.663,1.082.533.333,10.756,0.657477165,"[10.755999999999998, 11.663, 10.057]",,,,,,,,
donating,donasi,,,,,2,"5,890",,4,1,0,4,5.377,6.225,5.801,5.801,"294,444,444","[5.3770000000000007, 6.2249999999999996]",,,,,,,,
donating,menyumbangkan,,,,,1,"2,945",,2,1,0,2,4.877,4.877,4.877,4.877,0,[4.8769999999999998],,,,,,,,
donating,memberi donasi,,,,,1,"2,945",,2,1,0,2,3.516,3.516,3.516,3.516,0,[3.516],,,,,,,,
donating,mendonasikan,,,,,1,"2,945",,1,1,0,1,14.518,14.518,14.518,14.518,0,[14.517999999999999],,,,,,,,
donating,mendermakan,,,,,1,"2,945",,1,"0,5",1,0,24.719,24.719,24.719,24.719,0,[24.719000000000001],,,,,,,,
