username,source-word,target-word,user_point,user_is_male,user_is_female,user_is_age_0,user_is_age_15,user_is_age_20,user_is_age_25,user_is_age_30,user_is_age_35,user_is_age_40,user_languages,user_number_duration_played,user_mean_duration_played,user_median_duration_played,user_total_duration_played,user_number_time_to_translate,user_mean_time_to_translate,user_median_time_to_translate,user_total_time_to_translate,user_number_time_to_alternate,user_mean_time_to_alternate,user_median_time_to_alternate,user_total_time_to_alternate,user_number_time_to_vote_up,user_mean_time_to_vote_up,user_median_time_to_vote_up,user_total_time_to_vote_up,user_number_time_to_vote_down,user_mean_time_to_vote_down,user_median_time_to_vote_down,user_total_time_to_vote_down,user_number_time_to_categorize,user_mean_time_to_categorize,user_median_time_to_categorize,user_total_time_to_categorize,user_number_skip_translate,user_mean_skip_translate,user_median_skip_translate,user_total_skip_translate,user_number_skip_alternate,user_mean_skip_alternate,user_median_skip_alternate,user_total_skip_alternate,user_number_skip_vote,user_mean_skip_vote,user_median_skip_vote,user_total_skip_vote,user_number_skip_categorize,user_mean_skip_categorize,user_median_skip_categorize,user_total_skip_categorize,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,action_duration,action_vote_up,action_vote_down,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
diyahifada,the search and rescue (sar),tim sar,10000,0,1,0,0,0,0,1,0,0,2,7,1022.67,718.09,7158.69,227,8.22,6.12,1867.03,222,9.04,6.76,2006.85,282,1.67,0.91,470.37,0,,,0.0,261,2.26,1.33,590.0,59,5.45,4.42,321.52,52,6.22,3.61,323.56,2,16.88,16.88,33.77,7,5.76,5.83,40.32,16,368.892,23.05575,17.467,28,1.75,2.0,2,0.125,0.0,5,27,16,6,1,3.25,24.5,8,3,26,,2,53.62,26.81,26.81,1,0.5,0.5,1,0.5,0.5,2,7,2,46.391,1,0,0,22,0.63315696649,3.0,5.0
jessewjy,civil servant salaries,gaji tentara,2835,0,1,0,0,1,0,0,0,0,1,2,1540.37,1540.37,3080.74,62,13.09,9.97,811.76,38,14.54,12.28,552.56,43,3.89,2.92,167.11,15,5.08,4.05,76.18,76,5.91,5.01,448.88,16,10.62,4.93,169.92,51,7.58,2.83,386.34,25,3.71,3.49,92.83,4,12.5,5.91,50.01,13,218.779,16.8291538462,12.325,24,1.84615384615,2.0,1,0.0769230769231,0.0,3,22,13,4,1,3.30769230769,19.6153846154,8,4,25,1.4885252949,1,14.055,14.055,14.055,1,1.0,1.0,1,1.0,1.0,2,12,1,14.055,1,1,0,15,0.608585858586,3.0,5.0
melmarian,socio-economic recovery,pemulihan sosioekonomi,21250,0,1,0,0,0,0,1,0,0,1,37,739.21,233.1,27350.77,516,13.76,11.49,7100.67,257,15.67,13.78,4028.45,463,5.12,3.11,2370.76,99,8.21,5.76,812.33,604,7.84,5.84,4734.11,65,18.05,10.11,1173.3,271,10.49,5.1,2842.75,50,9.12,4.52,455.8,11,35.77,40.3,393.5,15,293.466,19.5644,16.514,28,1.86666666667,2.0,0,0.0,0.0,2,23,15,6,2,2.6,23.6666666667,5,3,24,2.33291456398,1,15.957,15.957,15.957,2,2.0,2.0,0,0.0,0.0,2,22,1,15.957,2,0,0,20,0.550175669741,3.0,5.0
andyhardiyanti,tragedy,"tragedi, peristiwa",529680,0,1,0,0,0,1,0,0,0,1,577,696.23,348.85,401722.4,1408,13.85,10.82,19505.11,14009,10.0,6.82,140157.99,14890,3.17,0.97,47262.41,40,9.22,2.85,368.63,14419,4.33,2.1,62470.87,339,5.27,2.65,1787.04,757,10.84,4.06,8206.2,115,21.9,11.66,2518.21,173,23.77,14.46,4112.91,25,217.36,8.6944,4.775,46,1.84,2.0,2,0.08,0.0,1,7,25,6,0,1.04,7.52,20,1,7,1.18631371386,1,7.664,7.664,7.664,2,2.0,2.0,0,0.0,0.0,2,18,1,7.664,2,0,0,12,0.730158730159,3.0,5.0
adinezia,civil authorities,wewenang sipil,12265,0,1,0,0,0,1,0,0,0,1,4,3303.32,2414.13,13213.29,290,11.38,9.4,3299.7,239,14.5,12.11,3466.56,219,3.45,2.49,754.5,89,4.61,4.14,410.56,364,5.15,4.56,1875.86,40,7.6,4.59,303.97,137,6.77,4.59,928.0,64,3.36,2.87,215.2,3,4.61,4.09,13.84,18,375.633,20.8685,12.174,26,1.44444444444,1.5,6,0.333333333333,0.0,2,17,18,11,2,2.11111111111,15.1666666667,7,2,14,2.96706475398,1,6.652,6.652,6.652,1,1.0,1.0,0,0.0,0.0,2,14,1,6.652,1,0,0,14,0.483753501401,2.0,3.0
adrianwail,utilities,pemanfaatan,2115,1,0,0,0,1,0,0,0,0,1,1,2839.23,2839.23,2839.23,37,18.38,12.9,679.99,39,24.72,21.58,964.04,60,4.77,3.26,286.46,11,5.99,5.73,65.91,33,8.09,7.05,267.12,5,21.5,7.98,107.48,25,11.59,6.9,289.78,3,5.03,4.54,15.08,2,15.85,15.85,31.7,14,264.247,18.8747857143,13.783,26,1.85714285714,2.0,0,0.0,0.0,1,9,14,7,1,1.0,9.28571428571,5,1,9,2.5495234596,1,5.125,5.125,5.125,2,2.0,2.0,0,0.0,0.0,1,11,1,5.125,2,0,0,11,0.400673400673,2.0,3.0
mayamalidra,praying families,keluarga berdoa,101830,0,1,0,0,0,1,0,0,0,1,156,629.92,543.92,98267.3,1761,11.27,9.28,19841.9,1545,11.81,9.75,18246.06,2248,3.35,2.31,7531.1,268,5.64,4.43,1512.31,3706,6.17,4.77,22857.87,1414,4.53,2.39,6410.7,2235,5.1,2.99,11397.11,1096,3.94,2.89,4322.84,95,10.87,7.13,1032.82,13,306.097,23.5459230769,18.559,19,1.46153846154,2.0,6,0.461538461538,0.0,2,16,13,8,2,2.53846153846,17.6153846154,4,3,20,2.77736279506,2,22.931,11.4655,11.4655,2,1.0,1.0,2,1.0,1.0,2,15,2,6.235,1,1,0,15,0.480555555556,1.0,5.0
dinechandra,defines,menjelaskan,67150,0,1,0,0,1,0,0,0,0,1,98,467.69,287.55,45834.08,1102,12.27,10.15,13522.5,1065,13.43,10.49,14299.24,1153,2.1,1.16,2421.42,10,6.2,3.93,62.02,1062,5.27,3.28,5593.63,10,28.82,31.31,288.23,30,30.4,16.55,912.06,11,13.6,2.66,149.58,88,8.68,3.09,763.66,15,261.466,17.4310666667,12.2,22,1.46666666667,2.0,7,0.466666666667,0.0,1,7,15,7,1,1.0,10.9333333333,4,1,14,2.60623892865,1,14.152,14.152,14.152,2,2.0,2.0,0,0.0,0.0,1,11,1,14.152,2,0,0,9,0.645021645022,3.0,5.0
alr1zeee,increase in temperature,penaikan suhu,2380,1,0,0,0,1,0,0,0,0,1,1,1958.55,1958.55,1958.55,24,18.68,13.87,448.38,12,25.72,21.15,308.63,18,5.57,4.31,100.3,22,12.29,6.59,270.34,26,10.02,7.61,260.42,8,7.53,5.14,60.25,23,17.23,5.94,396.38,0,,,0.0,1,39.29,39.29,39.29,20,335.944,16.7972,10.58,36,1.8,2.0,3,0.15,0.0,3,23,20,9,2,2.2,16.05,7,2,13,2.56386512195,1,14.169,14.169,14.169,2,2.0,2.0,0,0.0,0.0,2,13,1,14.169,2,0,0,19,0.571070234114,3.0,4.0
EdwardYo,switching facilities,fasilitas berganti,12370,1,0,0,1,0,0,0,0,0,1,20,302.09,219.94,6041.89,322,5.72,5.03,1841.53,159,6.7,5.91,1065.04,372,1.75,1.55,649.9,37,2.28,2.18,84.48,357,2.69,2.42,961.3,67,3.79,1.81,254.15,203,2.27,1.51,460.15,7,0.66,0.55,4.64,23,7.5,2.41,172.56,17,471.068,27.7098823529,16.402,29,1.70588235294,2.0,2,0.117647058824,0.0,2,20,17,15,2,2.0,18.5294117647,2,2,17,3.8521687236,1,4.868,4.868,4.868,1,1.0,1.0,1,1.0,1.0,2,18,1,4.868,1,1,0,17,0.599158249158,1.0,3.0
Nada Kesuma,disaster assistance response team (dart),badan nasional penanggulangan bencana,2170,0,1,0,1,0,0,0,0,0,3,2,970.78,970.78,1941.57,28,28.71,28.16,803.92,33,20.97,14.69,692.15,23,7.01,3.67,161.29,3,17.25,17.54,51.74,27,6.96,4.71,188.05,0,,,0.0,0,,,0.0,0,,,0.0,0,,,0.0,15,428.207,28.5471333333,23.718,28,1.86666666667,2.0,1,0.0666666666667,0.0,5,40,15,8,3,3.66666666667,24.8666666667,8,4,26,,1,38.116,38.116,38.116,2,2.0,2.0,0,0.0,0.0,4,37,1,38.116,2,0,0,33,0.515865865866,3.0,3.0
mayamalidra,distribution of tools,pembagian peralatan,101830,0,1,0,0,0,1,0,0,0,1,156,629.92,543.92,98267.3,1761,11.27,9.28,19841.9,1545,11.81,9.75,18246.06,2248,3.35,2.31,7531.1,268,5.64,4.43,1512.31,3706,6.17,4.77,22857.87,1414,4.53,2.39,6410.7,2235,5.1,2.99,11397.11,1096,3.94,2.89,4322.84,95,10.87,7.13,1032.82,16,246.664,15.4165,9.3195,28,1.75,2.0,2,0.125,0.0,3,21,16,12,1,2.0,18.0625,4,2,15,3.375,1,8.263,8.263,8.263,2,2.0,2.0,0,0.0,0.0,2,19,1,8.263,2,0,0,18,0.424394319131,3.0,5.0
Acho,seriously injured,luka berat,11195,1,0,0,0,0,1,0,0,0,1,28,1000.76,674.62,28021.14,182,41.27,36.46,7511.79,177,49.96,48.38,8842.3,172,8.55,6.12,1470.19,53,20.24,13.67,1072.64,219,14.95,9.8,3274.23,1,12.35,12.35,12.35,1,9.2,9.2,9.2,1,2.75,2.75,2.75,3,29.32,22.83,87.96,20,226.273,11.31365,7.685,36,1.8,2.0,2,0.1,0.0,2,17,20,8,2,2.0,12.15,7,2,13,2.52112747334,1,10.352,10.352,10.352,2,2.0,2.0,0,0.0,0.0,2,10,1,10.352,2,0,0,14,0.464705882353,3.0,5.0
kiranakay,the humanitarian core responsibilities,tanggung jawab kemanusiaan,1175,0,1,0,1,0,0,0,0,0,1,1,2610.87,2610.87,2610.87,26,30.95,29.59,804.67,20,42.21,37.13,844.12,30,6.85,5.66,205.42,10,14.81,5.13,148.11,29,12.61,10.49,365.76,0,,,0.0,2,10.98,10.98,21.96,0,,,0.0,0,,,0.0,15,484.806,32.3204,26.152,28,1.86666666667,2.0,1,0.0666666666667,0.0,4,38,15,8,2,3.8,30.8666666667,6,4,31,2.55591309518,1,41.623,41.623,41.623,2,2.0,2.0,0,0.0,0.0,3,26,1,41.623,2,0,0,30,0.523886639676,3.0,4.0
innamayniza,volcanic activity,aktivitas volkanik,21060,0,1,0,0,0,1,0,0,0,1,30,480.42,353.33,14412.66,404,10.76,9.96,4348.64,360,8.93,6.38,3214.8,344,3.07,1.78,1055.41,15,8.22,4.29,123.23,401,5.76,4.87,2309.32,12,24.89,26.92,298.7,16,32.57,30.97,521.17,6,11.07,6.56,66.44,10,22.3,21.04,223.0,13,157.478,12.1136923077,12.214,24,1.84615384615,2.0,1,0.0769230769231,0.0,2,17,13,7,2,2.30769230769,19.2307692308,4,3,23,2.56544837182,1,7.207,7.207,7.207,2,2.0,2.0,0,0.0,0.0,2,18,1,7.207,2,0,0,17,0.565359477124,3.0,5.0
unimiff,debris management activities,aktivitas pengelolaan reruntuhan,30060,0,1,0,0,1,0,0,0,0,1,37,1006.91,695.04,37255.72,726,12.24,10.21,8887.28,357,16.88,13.13,6025.45,777,4.49,2.64,3489.21,139,6.15,3.96,854.48,920,7.26,4.91,6681.34,206,8.22,4.68,1692.92,620,6.67,3.83,4133.1,69,5.91,3.17,407.87,22,18.96,8.47,417.13,18,472.659,26.2588333333,17.8215,27,1.5,2.0,5,0.277777777778,0.0,3,28,18,14,3,3.0,28.7222222222,3,3,31,3.64160416787,1,11.535,11.535,11.535,2,2.0,2.0,0,0.0,0.0,3,32,1,11.535,2,0,0,26,0.544642857143,3.0,4.0
hasnanisa,donated million,jutaan uang yang sudah didonasikan,5090,0,1,0,0,1,0,0,0,0,2,12,385.97,249.94,4631.61,70,17.1,14.42,1197.31,39,24.82,17.79,967.96,49,6.43,3.38,315.21,11,8.0,4.78,88.0,43,7.93,6.16,340.9,10,32.9,33.71,329.0,11,21.51,13.27,236.6,1,11.8,11.8,11.8,5,32.03,15.14,160.14,20,324.582,16.2291,14.2575,33,1.65,2.0,3,0.15,0.0,2,15,20,14,1,2.3,19.2,5,2,17,3.50370169606,1,17.116,17.116,17.116,2,2.0,2.0,0,0.0,0.0,5,34,1,17.116,2,0,0,27,0.46454248366,1.0,3.0
cutdhia,nongovernmental organizations,bukan organisasi pemerintah,24135,0,1,0,0,1,0,0,0,0,1,25,1372.28,1013.92,34307.05,452,23.24,19.82,10506.41,402,25.67,17.85,10317.62,432,5.57,3.59,2404.31,45,15.83,8.91,712.4,464,5.77,4.27,2679.03,12,43.93,28.03,527.21,12,39.78,31.87,477.42,7,37.47,24.12,262.3,26,12.83,10.58,333.71,16,299.573,18.7233125,15.635,29,1.8125,2.0,0,0.0,0.0,2,29,16,9,2,2.5625,23.1875,6,3,25,2.73345859334,1,30.77,30.77,30.77,2,2.0,2.0,0,0.0,0.0,3,27,1,30.77,2,0,0,25,0.581749430296,3.0,5.0
pnrj,major health hazards,bencana kesehatan utama,463845,0,1,0,0,0,1,0,0,0,1,1214,740.8,392.64,899331.38,2017,17.84,14.69,35974.45,3531,14.09,11.16,49739.6,48081,2.45,1.42,117676.27,2638,4.61,3.07,12158.73,9556,4.67,3.38,44629.81,5053,5.16,2.64,26066.77,38522,5.02,3.25,193242.8,5430,4.96,2.79,26911.79,46494,4.89,3.25,227132.94,18,409.258,22.7365555556,21.7415,29,1.61111111111,2.0,4,0.222222222222,0.0,3,20,18,11,1,3.16666666667,23.0555555556,6,3,22,3.08604861231,1,37.99,37.99,37.99,2,2.0,2.0,0,0.0,0.0,3,23,1,37.99,2,0,0,20,0.511594202899,3.0,3.0
mayamalidra,inequality,perbedaan,101830,0,1,0,0,0,1,0,0,0,1,156,629.92,543.92,98267.3,1761,11.27,9.28,19841.9,1545,11.81,9.75,18246.06,2248,3.35,2.31,7531.1,268,5.64,4.43,1512.31,3706,6.17,4.77,22857.87,1414,4.53,2.39,6410.7,2235,5.1,2.99,11397.11,1096,3.94,2.89,4322.84,95,10.87,7.13,1032.82,14,302.919,21.6370714286,15.549,24,1.71428571429,2.0,2,0.142857142857,0.0,1,10,14,8,1,1.14285714286,13.5714285714,4,1,13,2.75343438619,1,14.551,14.551,14.551,2,2.0,2.0,0,0.0,0.0,1,9,1,14.551,2,0,0,9,0.474074074074,3.0,5.0
irf,build back better,membangun rumah kembali,182375,1,0,0,0,0,0,1,0,0,3,474,627.85,278.04,297602.45,1696,26.12,18.41,44302.98,1668,25.89,20.32,43184.88,7216,3.65,2.09,26327.43,882,7.69,4.14,6784.93,7656,4.72,2.96,36130.79,3657,5.95,2.99,21758.65,5816,6.72,3.3,39098.91,448,9.02,3.83,4040.73,517,6.33,3.03,3271.71,15,308.169,20.5446,13.272,28,1.86666666667,2.0,2,0.133333333333,0.0,3,17,15,9,0,4.33333333333,30.2,3,5,35,3.00623892865,1,95.665,95.665,95.665,2,2.0,2.0,0,0.0,0.0,3,23,1,95.665,2,0,0,19,0.529127593066,3.0,3.0
andrewtirto,evidence-based data,data berdasar fakta,11935,1,0,0,0,1,0,0,0,0,2,31,554.45,180.38,17188.01,370,17.29,12.93,6396.05,70,16.71,11.64,1169.45,316,3.58,2.42,1131.89,83,7.88,4.48,653.64,320,8.65,5.45,2767.45,50,19.24,13.94,962.23,271,7.25,4.77,1964.43,3,2.22,0.38,6.67,32,10.18,6.03,325.62,18,420.802,23.3778888889,19.309,33,1.83333333333,2.0,2,0.111111111111,0.0,2,19,18,8,2,3.16666666667,21.0555555556,8,3,19,2.46132014021,1,21.744,21.744,21.744,2,2.0,2.0,0,0.0,0.0,3,19,1,21.744,2,0,0,13,0.550877192982,3.0,5.0
imadnov,markets,market,225,1,0,0,0,0,0,1,0,0,1,16,13.06,8.18,208.97,21,3.43,2.75,71.99,6,7.68,8.31,46.1,19,2.4,2.38,45.67,1,8.15,8.15,8.15,5,3.39,3.51,16.97,27,12.25,3.96,330.63,31,9.24,2.88,286.35,15,7.28,3.08,109.25,23,9.14,3.02,210.25,16,87.519,5.4699375,3.946,25,1.5625,2.0,3,0.1875,0.0,1,7,16,3,1,1.0,5.0625,14,1,5,0.6685644432,1,2.729,2.729,2.729,0,0.0,0.0,1,1.0,1.0,1,6,1,2.729,0,1,0,1,0.952380952381,3.0,5.0
raissa2606,germination rates,tingkat kuman,31555,0,1,0,1,0,0,0,0,0,1,95,254.03,54.82,24133.04,693,7.98,5.8,5529.24,611,9.91,7.53,6057.17,725,2.88,1.36,2085.53,17,4.3,2.61,73.12,715,4.32,2.9,3086.06,109,6.39,2.91,696.31,106,9.33,4.14,989.11,14,12.99,8.42,181.84,32,12.32,7.05,394.29,10,326.837,32.6837,28.8905,16,1.6,2.0,4,0.4,0.0,2,17,10,6,1,2.1,19.3,4,2,21,2.32192809489,1,9.01,9.01,9.01,1,1.0,1.0,1,1.0,1.0,2,13,1,9.01,1,1,0,14,0.59242500419,1.0,1.0
mardhika,hurricanes,kegaduhan,4680,0,1,0,0,1,0,0,0,0,1,2,2495.32,2495.32,4990.64,63,22.56,14.31,1421.51,23,26.37,20.76,606.52,42,8.33,5.9,349.74,7,9.13,9.05,63.92,89,10.7,8.65,952.06,59,8.5,6.44,501.39,64,9.08,6.11,581.27,38,5.71,4.31,216.85,18,8.08,7.15,145.38,16,255.02,15.93875,7.6755,32,2.0,2.0,0,0.0,0.0,1,10,16,4,1,1.1875,6.375,12,1,5,1.18627812446,1,12.895,12.895,12.895,2,2.0,2.0,0,0.0,0.0,1,9,1,12.895,2,0,0,9,0.433333333333,3.0,1.0
Acho,affected hurricane,tertimpa badai,11195,1,0,0,0,0,1,0,0,0,1,28,1000.76,674.62,28021.14,182,41.27,36.46,7511.79,177,49.96,48.38,8842.3,172,8.55,6.12,1470.19,53,20.24,13.67,1072.64,219,14.95,9.8,3274.23,1,12.35,12.35,12.35,1,9.2,9.2,9.2,1,2.75,2.75,2.75,3,29.32,22.83,87.96,18,454.783,25.2657222222,17.967,21,1.16666666667,1.0,9,0.5,0.0,2,18,18,12,2,2.27777777778,15.0555555556,5,2,15,3.30272275286,1,42.647,42.647,42.647,1,1.0,1.0,0,0.0,0.0,2,14,1,42.647,1,0,0,15,0.486772486772,1.0,2.0
gcharlotte,building footprint,tapak bangunan,34360,0,1,0,0,1,0,0,0,0,1,12,1113.65,512.82,13363.78,410,8.8,6.34,3608.6,254,13.56,9.67,3444.05,320,3.18,1.97,1017.79,63,4.79,3.08,301.51,388,5.04,3.58,1953.71,22,11.07,7.52,243.62,135,8.67,4.83,1170.68,6,13.22,7.38,79.3,3,32.66,4.84,98.0,16,298.123,18.6326875,11.638,22,1.375,1.0,6,0.375,0.0,2,18,16,10,0,2.1875,15.8125,3,2,15,3.15563906223,1,12.289,12.289,12.289,2,2.0,2.0,0,0.0,0.0,2,14,1,12.289,2,0,0,16,0.41164021164,3.0,3.0
indahrj,capacity assessment,kapasitas asesi,2445,0,1,0,0,1,0,0,0,0,1,6,493.64,295.83,2961.85,43,18.97,13.72,815.78,25,23.88,19.87,596.98,34,6.15,4.85,209.05,10,15.12,11.1,151.24,46,10.19,8.04,468.67,20,10.47,6.82,209.37,19,14.17,8.53,269.32,11,7.03,5.02,77.29,5,12.95,9.8,64.75,12,140.441,11.7034166667,8.8035,23,1.91666666667,2.0,1,0.0833333333333,0.0,2,19,12,3,2,2.0,18.75,10,2,19,0.816689088315,1,8.336,8.336,8.336,1,1.0,1.0,1,1.0,1.0,2,15,1,8.336,1,1,0,10,0.727192982456,3.0,2.0
andyhardiyanti,medical facilities,fasilitas kedokteran,529680,0,1,0,0,0,1,0,0,0,1,577,696.23,348.85,401722.4,1408,13.85,10.82,19505.11,14009,10.0,6.82,140157.99,14890,3.17,0.97,47262.41,40,9.22,2.85,368.63,14419,4.33,2.1,62470.87,339,5.27,2.65,1787.04,757,10.84,4.06,8206.2,115,21.9,11.66,2518.21,173,23.77,14.46,4112.91,13,162.658,12.5121538462,11.237,25,1.92307692308,2.0,0,0.0,0.0,2,18,13,4,2,2.0,15.7692307692,9,2,15,1.35203010176,1,7.602,7.602,7.602,2,2.0,2.0,0,0.0,0.0,2,20,1,7.602,2,0,0,17,0.551851851852,3.0,4.0
cutdhia,therapeutic feeding,pengobatan makanan,24135,0,1,0,0,1,0,0,0,0,1,25,1372.28,1013.92,34307.05,452,23.24,19.82,10506.41,402,25.67,17.85,10317.62,432,5.57,3.59,2404.31,45,15.83,8.91,712.4,464,5.77,4.27,2679.03,12,43.93,28.03,527.21,12,39.78,31.87,477.42,7,37.47,24.12,262.3,26,12.83,10.58,333.71,12,484.704,40.392,37.8165,16,1.33333333333,2.0,5,0.416666666667,0.0,2,19,12,9,2,2.83333333333,22.5,3,3,28,3.02205520887,1,80.798,80.798,80.798,2,2.0,2.0,0,0.0,0.0,2,18,1,80.798,2,0,0,16,0.438596491228,1.0,3.0
LUFANDA,locust plagues,belalang malapetaka,98155,0,1,0,0,1,0,0,0,0,2,149,1110.04,736.83,165395.99,1472,29.33,24.19,43169.56,3033,15.24,8.38,46219.2,2538,3.89,1.79,9883.49,195,8.55,3.71,1667.09,2804,5.48,3.6,15356.16,39,26.09,15.7,1017.49,362,6.13,1.1,2218.25,366,2.96,1.06,1083.18,383,6.31,1.02,2418.29,10,418.346,41.8346,36.2525,14,1.4,1.5,5,0.5,0.0,2,14,10,7,1,2.2,15.8,4,2,14,2.52192809489,1,38.555,38.555,38.555,1,1.0,1.0,0,0.0,0.0,2,19,1,38.555,1,0,0,15,0.527568922306,1.0,1.0
dinechandra,unnamed sources,sumber yang tanpa nama,67150,0,1,0,0,1,0,0,0,0,1,98,467.69,287.55,45834.08,1102,12.27,10.15,13522.5,1065,13.43,10.49,14299.24,1153,2.1,1.16,2421.42,10,6.2,3.93,62.02,1062,5.27,3.28,5593.63,10,28.82,31.31,288.23,30,30.4,16.55,912.06,11,13.6,2.66,149.58,88,8.68,3.09,763.66,19,340.637,17.9282631579,14.544,29,1.52631578947,2.0,6,0.315789473684,0.0,2,15,19,12,1,3.52631578947,23.4736842105,3,5,36,3.43162356585,1,17.784,17.784,17.784,2,2.0,2.0,0,0.0,0.0,4,22,1,17.784,2,0,0,20,0.507323232323,3.0,5.0
mukhriakbar,economic goals,tujuan ekonomis,1005,1,0,0,0,1,0,0,0,0,1,1,1853.33,1853.33,1853.33,27,19.08,16.73,515.25,17,29.52,22.05,501.76,31,6.38,4.7,197.8,8,7.12,6.85,56.97,26,12.82,9.37,333.26,2,19.25,19.25,38.49,7,17.34,13.78,121.35,3,26.5,14.08,79.51,1,6.02,6.02,6.02,16,185.872,11.617,9.0265,26,1.625,2.0,3,0.1875,0.0,2,14,16,5,1,2.0,14.1875,11,2,14,1.49664076219,2,22.892,11.446,11.446,3,1.5,1.5,1,0.5,0.5,2,15,2,9.893,1,1,0,13,0.496825396825,3.0,4.0
mayamalidra,storms amazing,badai membuat orang kagum,101830,0,1,0,0,0,1,0,0,0,1,156,629.92,543.92,98267.3,1761,11.27,9.28,19841.9,1545,11.81,9.75,18246.06,2248,3.35,2.31,7531.1,268,5.64,4.43,1512.31,3706,6.17,4.77,22857.87,1414,4.53,2.39,6410.7,2235,5.1,2.99,11397.11,1096,3.94,2.89,4322.84,95,10.87,7.13,1032.82,7,159.946,22.8494285714,14.657,10,1.42857142857,2.0,3,0.428571428571,0.0,2,14,7,6,1,2.57142857143,16.7142857143,2,3,22,2.52164063634,1,17.093,17.093,17.093,2,2.0,2.0,0,0.0,0.0,4,25,1,17.093,2,0,0,21,0.556507936508,1.0,3.0
nyoman.sudarsana,evacuations,pengungsian,20945,1,0,0,0,0,0,1,0,0,1,59,812.25,459.11,47922.58,525,30.44,23.02,15978.76,316,37.08,31.02,11716.78,226,11.21,6.38,2534.49,89,20.46,13.3,1821.07,339,16.57,11.12,5617.55,2,41.39,41.39,82.77,5,61.39,61.77,306.96,4,49.64,39.86,198.56,3,71.87,72.31,215.6,23,186.65,8.1152173913,6.183,42,1.82608695652,2.0,1,0.0434782608696,0.0,1,11,23,5,1,1.0,9.21739130435,18,1,8,1.17318586797,1,28.935,28.935,28.935,2,2.0,2.0,0,0.0,0.0,1,11,1,28.935,2,0,0,9,0.585858585859,3.0,1.0
Tiara,standard operating procedures (sops),standar prosedur operasional,7895,0,1,0,0,1,0,0,0,0,1,21,906.36,743.91,19033.5,156,21.23,11.88,3312.43,125,28.75,21.97,3593.91,149,9.29,4.45,1384.56,36,13.74,8.02,494.61,205,14.8,6.77,3034.8,29,30.84,17.65,894.34,75,16.87,11.13,1265.5,15,31.42,37.53,471.23,18,23.99,13.54,431.89,13,348.543,26.811,24.545,23,1.76923076923,2.0,1,0.0769230769231,0.0,4,36,13,7,3,3.07692307692,26.3076923077,6,3,24,,1,24.545,24.545,24.545,2,2.0,2.0,0,0.0,0.0,3,28,1,24.545,2,0,0,21,0.768213268213,3.0,5.0
irf,local and traditional knowledge,lokal dan pengetahuan tradisional,182375,1,0,0,0,0,0,1,0,0,3,474,627.85,278.04,297602.45,1696,26.12,18.41,44302.98,1668,25.89,20.32,43184.88,7216,3.65,2.09,26327.43,882,7.69,4.14,6784.93,7656,4.72,2.96,36130.79,3657,5.95,2.99,21758.65,5816,6.72,3.3,39098.91,448,9.02,3.83,4040.73,517,6.33,3.03,3271.71,20,438.702,21.9351,17.1415,39,1.95,2.0,0,0.0,0.0,4,31,20,7,3,3.95,32.05,13,4,33,1.8166422781,1,19.054,19.054,19.054,2,2.0,2.0,0,0.0,0.0,4,33,1,19.054,2,0,0,23,0.697026364628,3.0,2.0
hizzaka,relief efforts,usaha pertolongan bencaba,410,1,0,0,0,1,0,0,0,0,2,1,823.58,823.58,823.58,14,27.26,18.89,381.59,6,27.64,27.05,165.85,5,2.87,3.08,14.35,3,7.32,7.03,21.96,11,10.28,8.51,113.11,2,22.96,22.96,45.91,6,12.84,11.41,77.06,1,0.66,0.66,0.66,0,,,0.0,17,255.873,15.0513529412,9.259,31,1.82352941176,2.0,2,0.117647058824,0.0,2,14,17,8,2,2.05882352941,15.1764705882,6,2,13,2.49220310721,1,15.816,15.816,15.816,1,1.0,1.0,1,1.0,1.0,3,25,1,15.816,1,1,0,22,0.445079365079,3.0,5.0
irf,critical infrastructure,infrastruktur yang penting,182375,1,0,0,0,0,0,1,0,0,3,474,627.85,278.04,297602.45,1696,26.12,18.41,44302.98,1668,25.89,20.32,43184.88,7216,3.65,2.09,26327.43,882,7.69,4.14,6784.93,7656,4.72,2.96,36130.79,3657,5.95,2.99,21758.65,5816,6.72,3.3,39098.91,448,9.02,3.83,4040.73,517,6.33,3.03,3271.71,20,463.507,23.17535,14.8045,35,1.75,2.0,2,0.1,0.0,2,23,20,10,2,2.45,22.05,5,2,20,3.02821294584,1,62.469,62.469,62.469,2,2.0,2.0,0,0.0,0.0,3,26,1,62.469,2,0,0,22,0.624512263099,3.0,5.0
